STATE,YEAR,Abortion Rate per 1000 People,"Abortion Rate per 100,000 People (Adjusted)(Age:15-19)",Birth Rate per 1000 People,"Birth Rate per 100,000 People (Adjusted)(Age:15-19)",Pregnancy Rate per 1000 People,"Pregnancy Rate per 100,000 People (Adjusted)(Age:15-19)","HIV Rate per 100,000 People","HIV Rate per 100,000 People (Adjusted)(Age:13-24)","STD Rate per 100,000 People","STD Rate per 100,000 People (Adjusted)(Age:Under 19)"
Illinois,1990,37.15,440.5,58.5,407.5490196,111.05,1060.2,,,,
Indiana,1990,23.25,-949.5,55.45,102.5490196,92.05,-839.8,,,,
Iowa,1990,21.4,-1134.5,37.3,-1712.45098,68.3,-3214.8,,,,
Kansas,1990,24.1,-864.5,53.2,-122.4509804,90.35,-1009.8,,,,
Kentucky,1990,20.6,-1214.5,62.8,837.5490196,98.1,-234.8,,,,
Louisiana,1990,18.95,-1379.5,72.25,1782.54902,107.6,715.2,,,,
Maine,1990,24.75,-799.5,40.55,-1387.45098,75.85,-2459.8,,,,
Maryland,1990,55.2,2245.5,50.2,-422.4509804,120.9,2045.2,,,,
Massachusetts,1990,44.45,1170.5,34.75,-1967.45098,90.6,-984.8,,,,
Michigan,1990,41.95,920.5,51.8,-262.4509804,108.35,790.2,,,,
Minnesota,1990,23.6,-914.5,33.55,-2087.45098,66.25,-3419.8,,,,
Mississippi,1990,17.6,-1514.5,78.8,2437.54902,113.9,1345.2,,,,
Missouri,1990,25.9,-684.5,59.3,487.5490196,99.6,-84.8,,,,
Montana,1990,23.7,-904.5,43.1,-1132.45098,77.85,-2259.8,,,,
Nebraska,1990,23.7,-904.5,39.8,-1462.45098,73.9,-2654.8,,,,
Nevada,1990,54.95,2220.5,67.3,1287.54902,141.25,4080.2,,,,
New Hampshire,1990,33.15,40.5,31.95,-2247.45098,74.8,-2564.8,,,,
New Jersey,1990,51.7,1895.5,38.4,-1602.45098,102.95,250.2,,,,
New Mexico,1990,31.95,-79.5,76.05,2162.54902,126.4,2595.2,,,,
New York,1990,58.95,2620.5,42.05,-1237.45098,115.35,1490.2,,,,
North Carolina,1990,38.65,590.5,65.05,1062.54902,120.5,2005.2,,,,
North Dakota,1990,16.05,-1669.5,34.6,-1982.45098,59.15,-4129.8,,,,
Ohio,1990,25.85,-689.5,54.9,47.54901961,94.3,-614.8,,,,
Oklahoma,1990,21.05,-1169.5,66.65,1222.54902,103.1,265.2,,,,
Oregon,1990,37.2,445.5,50.45,-397.4509804,101.45,100.2,,,,
Pennsylvania,1990,30.05,-269.5,43.05,-1137.45098,84.7,-1574.8,,,,
Rhode Island,1990,35.1,235.5,42.25,-1217.45098,89.3,-1114.8,,,,
South Carolina,1990,27.8,-494.5,67.4,1297.54902,111.5,1105.2,,,,
South Dakota,1990,14.75,-1799.5,47.2,-722.4509804,72.9,-2754.8,,,,
Tennessee,1990,27,-574.5,67.6,1317.54902,110.8,1035.2,,,,
Texas,1990,27.95,-479.5,73.65,1922.54902,119.1,1865.2,,,,
Utah,1990,12.2,-2054.5,45.85,-857.4509804,68.45,-3199.8,,,,
Vermont,1990,31.25,-149.5,34.6,-1982.45098,75.9,-2454.8,,,,
Virginia,1990,39.8,705.5,48.6,-582.4509804,102.15,170.2,,,,
Washington,1990,43.8,1105.5,49.05,-537.4509804,107.05,660.2,,,,
West Virginia,1990,16.5,-1624.5,53.1,-132.4509804,81.8,-1864.8,,,,
Wisconsin,1990,24.45,-829.5,40.15,-1427.45098,75,-2544.8,,,,
Wyoming,1990,21.3,-1144.5,49.55,-487.4509804,82.9,-1754.8,,,,
Alabama,1991,28.25,-285.05,69.825,1390.784314,114.925,1464.4,,,,
Alaska,1991,31.475,37.45,62.8,688.2843137,109.975,969.4,,,,
Arizona,1991,33.55,244.95,77.5,2158.284314,129.9,2961.9,,,,
Arkansas,1991,24.2,-690.05,74,1808.284314,115.45,1516.9,,,,
California,1991,65.7,3459.95,69.2,1328.284314,155.275,5499.4,,,,
Colorado,1991,37.5,639.95,55.975,5.784313725,108.4,811.9,,,,
Connecticut,1991,46.9,1579.95,38,-1791.715686,97.175,-310.6,,,,
Delaware,1991,44.875,1377.45,57.3,138.2843137,118.05,1776.9,,,,
District of Columbia,1991,,0,98.925,4300.784314,,0,,,,
Florida,1991,44.125,1302.45,64.5,858.2843137,126,2571.9,,,,
Georgia,1991,34.275,317.45,72.7,1678.284314,124.925,2464.4,,,,
Hawaii,1991,67.475,3637.45,52.9,-301.7156863,137.675,3739.4,,,,
Idaho,1991,14.925,-1617.55,50.25,-566.7156863,76.825,-2345.6,,,,
Illinois,1991,34.625,352.45,60.75,483.2843137,110.975,1069.4,,,,
Indiana,1991,22.625,-847.55,56.975,105.7843137,93.225,-705.6,,,,
Iowa,1991,18.75,-1235.05,38.9,-1701.715686,67.3,-3298.1,,,,
Kansas,1991,22.75,-835.05,54.4,-151.7156863,90.325,-995.6,,,,
Kentucky,1991,19.95,-1115.05,63.8,788.2843137,98.55,-173.1,,,,
Louisiana,1991,17.075,-1402.55,74.175,1825.784314,107.85,756.9,,,,
Maine,1991,22.575,-852.55,40.275,-1564.215686,73.125,-2715.6,,,,
Maryland,1991,53.55,2244.95,50.4,-551.7156863,119.35,1906.9,,,,
Massachusetts,1991,41.025,992.45,36.125,-1979.215686,88.45,-1183.1,,,,
Michigan,1991,39.275,817.45,54.2,-171.7156863,108.325,804.4,,,,
Minnesota,1991,21.05,-1005.05,34.725,-2119.215686,64.875,-3540.6,,,,
Mississippi,1991,18.4,-1270.05,81.2,2528.284314,117.65,1736.9,,,,
Missouri,1991,23.9,-720.05,61.2,528.2843137,99.7,-58.1,,,,
Montana,1991,23.6,-750.05,44.55,-1136.715686,79.475,-2080.6,,,,
Nebraska,1991,21.6,-950.05,40.45,-1546.715686,72.4,-2788.1,,,,
Nevada,1991,53.975,2287.45,68.95,1303.284314,142.175,4189.4,,,,
New Hampshire,1991,27.475,-362.55,31.625,-2429.215686,68.15,-3213.1,,,,
New Jersey,1991,49.05,1794.95,38.65,-1726.715686,100.325,4.4,,,,
New Mexico,1991,30.775,-32.55,77.875,2195.784314,127.3,2701.9,,,,
New York,1991,58.775,2767.45,43.275,-1264.215686,116.625,1634.4,,,,
North Carolina,1991,36.175,507.45,67.125,1120.784314,120.25,1996.9,,,,
North Dakota,1991,14.675,-1642.55,35.75,-2016.715686,59.025,-4125.6,,,,
Ohio,1991,23.625,-747.55,56.45,53.28431373,93.7,-658.1,,,,
Oklahoma,1991,17.925,-1317.55,68.225,1230.784314,101.55,126.9,,,,
Oregon,1991,34.55,344.95,51.725,-419.2156863,100.075,-20.6,,,,
Pennsylvania,1991,28.575,-252.55,43.925,-1199.215686,84.15,-1613.1,,,,
Rhode Island,1991,34.8,369.95,44.225,-1169.215686,91.35,-893.1,,,,
South Carolina,1991,25.4,-570.05,68.55,1263.284314,110.25,996.9,,,,
South Dakota,1991,14.575,-1652.55,47.75,-816.7156863,73.35,-2693.1,,,,
Tennessee,1991,25.45,-565.05,69.25,1333.284314,111.05,1076.9,,,,
Texas,1991,26.725,-437.55,75.925,2000.784314,120.5,2021.9,,,,
Utah,1991,10.55,-2055.05,45.775,-1014.215686,66.525,-3375.6,,,,
Vermont,1991,28.475,-262.55,35.1,-2081.715686,73.45,-2683.1,,,,
Virginia,1991,37.4,629.95,50.15,-576.7156863,101.375,109.4,,,,
Washington,1991,42.85,1174.95,50.025,-589.2156863,107.175,689.4,,,,
West Virginia,1991,16.35,-1475.05,54.7,-121.7156863,83.55,-1673.1,,,,
Wisconsin,1991,22.525,-857.55,41.075,-1484.215686,74,-2628.1,,,,
Wyoming,1991,20.35,-1075.05,49.675,-624.2156863,82,-1828.1,,,,
Alabama,1992,27.2,-225.6,72,1459.019608,116.4,1628.6,,,,
Alaska,1992,30,54.4,65.2,779.0196078,111.2,1108.6,,,,
Arizona,1992,31.6,214.4,80.2,2279.019608,131,3088.6,,,,
Arkansas,1992,23.2,-625.6,74.8,1739.019608,115.3,1518.6,,,,
California,1992,62.6,3314.4,72.8,1539.019608,156.2,5608.6,,,,
Colorado,1992,37.2,774.4,58.4,99.01960784,111,1088.6,,,,
Connecticut,1992,44.1,1464.4,39,-1840.980392,95.3,-481.4,,,,
Delaware,1992,43.5,1404.4,58.7,129.0196078,118.2,1808.6,,,,
District of Columbia,1992,,0,106.7,4929.019608,,0,,,,
Florida,1992,41.8,1234.4,65.2,779.0196078,124.3,2418.6,,,,
Georgia,1992,33.8,434.4,74.2,1679.019608,126.2,2608.6,,,,
Hawaii,1992,68,3854.4,54.2,-320.9803922,139.8,3968.6,,,,
Idaho,1992,14,-1545.6,51.5,-590.9803922,77.3,-2281.4,,,,
Illinois,1992,32.1,264.4,63,559.0196078,110.9,1078.6,,,,
Indiana,1992,22,-745.6,58.5,109.0196078,94.4,-571.4,,,,
Iowa,1992,16.1,-1335.6,40.5,-1690.980392,66.3,-3381.4,,,,
Kansas,1992,21.4,-805.6,55.6,-180.9803922,90.3,-981.4,,,,
Kentucky,1992,19.3,-1015.6,64.8,739.0196078,99,-111.4,,,,
Louisiana,1992,15.2,-1425.6,76.1,1869.019608,108.1,798.6,,,,
Maine,1992,20.4,-905.6,40,-1740.980392,70.4,-2971.4,,,,
Maryland,1992,51.9,2244.4,50.6,-680.9803922,117.8,1768.6,,,,
Massachusetts,1992,37.6,814.4,37.5,-1990.980392,86.3,-1381.4,,,,
Michigan,1992,36.6,714.4,56.6,-80.98039216,108.3,818.6,,,,
Minnesota,1992,18.5,-1095.6,35.9,-2150.980392,63.5,-3661.4,,,,
Mississippi,1992,19.2,-1025.6,83.6,2619.019608,121.4,2128.6,,,,
Missouri,1992,21.9,-755.6,63.1,569.0196078,99.8,-31.4,,,,
Montana,1992,23.5,-595.6,46,-1140.980392,81.1,-1901.4,,,,
Nebraska,1992,19.5,-995.6,41.1,-1630.980392,70.9,-2921.4,,,,
Nevada,1992,53,2354.4,70.6,1319.019608,143.1,4298.6,,,,
New Hampshire,1992,21.8,-765.6,31.3,-2610.980392,61.5,-3861.4,,,,
New Jersey,1992,46.4,1694.4,38.9,-1850.980392,97.7,-241.4,,,,
New Mexico,1992,29.6,14.4,79.7,2229.019608,128.2,2808.6,,,,
New York,1992,58.6,2914.4,44.5,-1290.980392,117.9,1778.6,,,,
North Carolina,1992,33.7,424.4,69.2,1179.019608,120,1988.6,,,,
North Dakota,1992,13.3,-1615.6,36.9,-2050.980392,58.9,-4121.4,,,,
Ohio,1992,21.4,-805.6,58,59.01960784,93.1,-701.4,,,,
Oklahoma,1992,14.8,-1465.6,69.8,1239.019608,100,-11.4,,,,
Oregon,1992,31.9,244.4,53,-440.9803922,98.7,-141.4,,,,
Pennsylvania,1992,27.1,-235.6,44.8,-1260.980392,83.6,-1651.4,,,,
Rhode Island,1992,34.5,504.4,46.2,-1120.980392,93.4,-671.4,,,,
South Carolina,1992,23,-645.6,69.7,1229.019608,109,888.6,,,,
South Dakota,1992,14.4,-1505.6,48.3,-910.9803922,73.8,-2631.4,,,,
Tennessee,1992,23.9,-555.6,70.9,1349.019608,111.3,1118.6,,,,
Texas,1992,25.5,-395.6,78.2,2079.019608,121.9,2178.6,,,,
Utah,1992,8.9,-2055.6,45.7,-1170.980392,64.6,-3551.4,,,,
Vermont,1992,25.7,-375.6,35.6,-2180.980392,71,-2911.4,,,,
Virginia,1992,35,554.4,51.7,-570.9803922,100.6,48.6,,,,
Washington,1992,41.9,1244.4,51,-640.9803922,107.3,718.6,,,,
West Virginia,1992,16.2,-1325.6,56.3,-110.9803922,85.3,-1481.4,,,,
Wisconsin,1992,20.6,-885.6,42,-1540.980392,73,-2711.4,,,,
Wyoming,1992,19.4,-1005.6,49.8,-760.9803922,81.1,-1901.4,,,,
Alabama,1993,25.375,-268.3,70.775,1501.176471,112.9,1617.4,,,,
Alaska,1993,27.225,-83.3,61.6,583.6764706,103.825,709.9,,,,
Arizona,1993,30.325,226.7,78.025,2226.176471,127,3027.4,,,,
Arkansas,1993,21.4,-665.8,74.475,1871.176471,112.925,1619.9,,,,
California,1993,58.6,3054.2,69.85,1408.676471,148.25,5152.4,,,,
Colorado,1993,35.3,724.2,56.475,71.17647059,106.575,984.9,,,,
Connecticut,1993,42.3,1424.2,38.4,-1736.323529,92.6,-412.6,,,,
Delaware,1993,38.575,1051.7,57.475,171.1764706,111.325,1459.9,,,,
District of Columbia,1993,,0,99.825,4406.176471,,0,,,,
Florida,1993,41.55,1349.2,63.2,743.6764706,121.6,2487.4,,,,
Georgia,1993,31.7,364.2,72.35,1658.676471,121.7,2497.4,,,,
Hawaii,1993,61,3294.2,52.875,-288.8235294,130.55,3382.4,,,,
Idaho,1993,13.5,-1455.8,50.35,-541.3235294,75.35,-2137.6,,,,
Illinois,1993,32.8,474.2,61.075,531.1764706,109.375,1264.9,,,,
Indiana,1993,21.05,-700.8,57.65,188.6764706,92.325,-440.1,,,,
Iowa,1993,14.975,-1308.3,39.725,-1603.823529,64.125,-3260.1,,,,
Kansas,1993,20.3,-775.8,54.05,-171.3235294,87.225,-950.1,,,,
Kentucky,1993,17.475,-1058.3,63.9,813.6764706,95.925,-80.1,,,,
Louisiana,1993,15.25,-1280.8,73.775,1801.176471,105.35,862.4,,,,
Maine,1993,20.025,-803.3,37.925,-1783.823529,67.5,-2922.6,,,,
Maryland,1993,50.35,2229.2,49.375,-638.8235294,114.625,1789.9,,,,
Massachusetts,1993,36.975,891.7,35.9,-1986.323529,83.725,-1300.1,,,,
Michigan,1993,34.55,649.2,54.05,-171.3235294,102.975,624.9,,,,
Minnesota,1993,17.75,-1030.8,35,-2076.323529,61.575,-3515.1,,,,
Mississippi,1993,18.2,-985.8,81.2,2543.676471,117.425,2069.9,,,,
Missouri,1993,20.3,-775.8,60.625,486.1764706,95.075,-165.1,,,,
Montana,1993,21.95,-610.8,44.325,-1143.823529,77.35,-1937.6,,,,
Nebraska,1993,18.075,-998.3,40.55,-1521.323529,68.65,-2807.6,,,,
Nevada,1993,52.35,2429.2,70.325,1456.176471,142.025,4529.9,,,,
New Hampshire,1993,21.65,-640.8,30.525,-2523.823529,60.425,-3630.1,,,,
New Jersey,1993,47.2,1914.2,37.975,-1778.823529,97.475,74.9,,,,
