County,Diagnosis,count
SCOTT,GONORRHEA,122
SCOTT,SYPHILIS,13
SHANNON,CHLAMYDIA,9
SHANNON,GONORRHEA,1
SHANNON,SYPHILIS,2
SHELBY,CHLAMYDIA,13
ST CHARLES,CHLAMYDIA,1182
ST CHARLES,GONORRHEA,338
ST CHARLES,SYPHILIS,26
ST CLAIR,CHLAMYDIA,23
ST CLAIR,GONORRHEA,6
ST FRANCOIS,CHLAMYDIA,254
ST FRANCOIS,GONORRHEA,145
ST FRANCOIS,SYPHILIS,13
ST LOUIS,CHLAMYDIA,6586
ST LOUIS,GONORRHEA,2990
ST LOUIS,SYPHILIS,348
ST LOUIS CITY,CHLAMYDIA,4223
ST LOUIS CITY,GONORRHEA,2441
ST LOUIS CITY,SYPHILIS,396
STE GENEVIEVE,CHLAMYDIA,46
STE GENEVIEVE,GONORRHEA,4
STE GENEVIEVE,SYPHILIS,2
STODDARD,CHLAMYDIA,106
STODDARD,GONORRHEA,51
STODDARD,SYPHILIS,5
STONE,CHLAMYDIA,77
STONE,GONORRHEA,19
SULLIVAN,CHLAMYDIA,20
SULLIVAN,GONORRHEA,9
SULLIVAN,SYPHILIS,2
TANEY,CHLAMYDIA,192
TANEY,GONORRHEA,65
TANEY,SYPHILIS,12
TEXAS,CHLAMYDIA,51
TEXAS,GONORRHEA,22
TEXAS,SYPHILIS,2
VERNON,CHLAMYDIA,74
VERNON,GONORRHEA,32
VERNON,SYPHILIS,4
WARREN,CHLAMYDIA,95
WARREN,GONORRHEA,32
WARREN,SYPHILIS,4
WASHINGTON,CHLAMYDIA,55
WASHINGTON,GONORRHEA,30
WASHINGTON,SYPHILIS,3
WAYNE,CHLAMYDIA,17
WAYNE,GONORRHEA,16
WAYNE,SYPHILIS,2
WEBSTER,CHLAMYDIA,121
WEBSTER,GONORRHEA,44
WEBSTER,SYPHILIS,4
WORTH,CHLAMYDIA,4
WORTH,GONORRHEA,1
WRIGHT,CHLAMYDIA,49
WRIGHT,GONORRHEA,6
WRIGHT,SYPHILIS,3
