placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person
geoId/72029,Can¨®vanas Municipio,2016,47174,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72029,Can¨®vanas Municipio,2017,46779,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72029,Can¨®vanas Municipio,2018,46108,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72029,Can¨®vanas Municipio,2019,45588,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72029,Can¨®vanas Municipio,2020,45120,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72031,Carolina Municipio,2011,177873,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72031,Carolina Municipio,2012,176157,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72031,Carolina Municipio,2013,173994,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72031,Carolina Municipio,2014,171310,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72031,Carolina Municipio,2015,168114,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72031,Carolina Municipio,2016,165040,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72031,Carolina Municipio,2017,161684,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72031,Carolina Municipio,2018,157453,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72031,Carolina Municipio,2019,153779,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72031,Carolina Municipio,2020,150378,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72033,Cata?o Municipio,2011,28371,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72033,Cata?o Municipio,2012,28049,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72033,Cata?o Municipio,2013,27669,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72033,Cata?o Municipio,2014,27211,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72033,Cata?o Municipio,2015,26680,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72033,Cata?o Municipio,2016,26137,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72033,Cata?o Municipio,2017,25595,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72033,Cata?o Municipio,2018,24888,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72033,Cata?o Municipio,2019,24271,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72033,Cata?o Municipio,2020,23698,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72035,Cayey Municipio,2011,48184,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72035,Cayey Municipio,2012,48008,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72035,Cayey Municipio,2013,47700,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72035,Cayey Municipio,2014,47252,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72035,Cayey Municipio,2015,46647,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72035,Cayey Municipio,2016,46071,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72035,Cayey Municipio,2017,45431,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72035,Cayey Municipio,2018,44530,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72035,Cayey Municipio,2019,43785,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72035,Cayey Municipio,2020,43126,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72037,Ceiba Municipio,2011,14087,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72037,Ceiba Municipio,2012,13726,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72037,Ceiba Municipio,2013,13419,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72037,Ceiba Municipio,2014,13122,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72037,Ceiba Municipio,2015,12810,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
